id;class;lvl;difficulty;subject;subject_category;questiontype;question;answers;answer;train;mini1;mini2;boss
66;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of sleep?";{slope, sleeped, splept};"""slept""";1;1;1;0
67;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of sleep?";{slope, sleeped, splept};"""slept""";1;1;1;0
68;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of speak?""";{spoken, speaked, spoke};"""spoke""";1;1;1;0
69;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of speak?""";{spoken, speaked, spoke};"""spoken""";1;1;1;0
70;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of stand?""";{stunned, stood, standed};"""stood""";1;1;1;0
71;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of stand?";{stunned, stood, standed};"""stood""";1;1;1;0
72;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of take?""";{taken, took, taked};"""took""";1;1;1;0
73;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of take?""";{taken, took, taked};"""taken""";1;1;1;0
74;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of tell?""";{telled, tall, told};"""told""";1;1;1;0
75;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of tell?""";{telled, tall, told};"""told""";1;1;1;0
76;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of think?""";{thank, thinked, thought};"""thought""";1;1;1;0
77;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of think?""";{thank, thinked, thought};"""thought""";1;1;1;0
78;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of throw?""";{thrown, threw, through};"""threw""";1;1;1;0
79;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of throw?""";{thrown, threw, through};"""thrown""";1;1;1;0
80;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of understand?""";{understood, understanded, overstand};"""understood""";1;1;1;0
81;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of understand?""";{understood, understanded, overstand};"""understood""";1;1;1;0
82;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of wake?""";{waked, woken, woke};"""woke""";1;1;1;0
83;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of wake?""";{waked, woken, woke};"""woken""";1;1;1;0
84;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of wear?""";{war, worn, wore};"""wore""";1;1;1;0
85;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of wear?""";{war, worn, wore};"""worn""";1;1;1;0
86;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of win?""";{won, wan, wine};"""won""";1;1;1;0
87;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of win?""";{won, wan, wine};"""won""";1;1;1;0
88;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of write?""";{written, wrat, wrote};"""wrote""";1;1;1;0
89;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of write?""";{written, wrat, wrote};"""written""";1;1;1;0
90;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""I (read).""";{read, reads, readies};"""read""";1;1;1;0
91;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""I (walk).""";{walks, walk, walkes};"""walk""";1;1;1;0
92;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""I (call).""";{callies, calls, call};"""call""";1;1;1;0
93;6 u .8;1 bis 20;1;e;"""zeiten 1""";3;"""You (see).""";{sees, seas, see};"""see""";1;1;1;0
94;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""You (run).""";{run, runs, ruins};"""run""";1;1;1;0
95;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""You (watch).""";{watches, watch, watchs};"""watch""";1;1;1;0
96;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""Paul (see).""";{seas, seeses, sees};"""sees""";1;1;1;0
97;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""Thomas (play).""";{plays, play, playes};"""plays""";1;1;1;0
98;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""The teacher (explain).""";{explaines, explain, explains};"""explains""";1;1;1;0
99;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""Mother (cook).""";{cooks, cookies, cook};"""cooks""";1;1;1;0
100;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""The dog (eat).""";{eat, eates, eats};"""eats""";1;1;1;0
101;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""It (rain).""";{rains, rainies, rain};"""rains""";1;1;1;0
102;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""Mr and Mrs Palmer (read).""";{reads, reades, read};"""read""";1;1;1;0
103;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""The children (write).""";{writes, write, writs};"""write""";1;1;1;0
104;6 u. 8;1 bis 20;1;e;"""zeiten 1""";3;"""We (visit).""";{visits, visit, visities};"""visit""";1;1;1;0
